"marca","modelo","emplacados","acumulado_anual","data"
"CITROEN","C3_AIRCROSS","204","223","2024-02-02"
"KIA","SPORTAGE","88","210","2024-02-02"
"MBENZ","GLC","108","195","2024-02-02"
"FIAT","MOBI","4658","14665","2024-03-02"
"RENAULT","KWID","3992","13134","2024-03-02"
"VW","GOL","6","18","2024-03-02"
"FIAT","UNO","0","3","2024-03-02"
"VW","UP","2","2","2024-03-02"
"FIAT","PALIO","0","1","2024-03-02"
"GM","CHEVETTE","1","1","2024-03-02"
"VW","POLO","11943","27263","2024-03-02"
"FIAT","ARGO","6850","18053","2024-03-02"
"HYUNDAI","HB20","5288","18053","2024-03-02"
"GM","ONIX","7753","17766","2024-03-02"
"TOYOTA","YARIS_HB","2151","5995","2024-03-02"
"BYD","DOLPHIN","1707","5332","2024-03-02"
"CITROEN","C3","1637","5031","2024-03-02"
"PEUGEOT","208","1129","4502","2024-03-02"
"BYD","DOLPHIN_MINI","2469","2494","2024-03-02"
"HONDA","CITY_HATCH","912","2481","2024-03-02"
"GWM","ORA_03","608","1892","2024-03-02"
"RENAULT","SANDERO","396","1233","2024-03-02"
"GM","CRUZE_HB","34","129","2024-03-02"
"AUDI","A3","57","103","2024-03-02"
"HONDA","CIVIC_TYPE-R","4","26","2024-03-02"
"NISSAN","LEAF","24","25","2024-03-02"
"BMW","118i","11","13","2024-03-02"
"TOYOTA","COROLLA_GR","3","12","2024-03-02"
"FIAT","CRONOS","1884","6466","2024-03-02"
"HYUNDAI","HB20S","1221","5127","2024-03-02"
"RENAULT","LOGAN","140","421","2024-03-02"
"VW","VOYAGE","3","3","2024-03-02"
"FIAT","SIENA","1","1","2024-03-02"
"GM","PRISMA","0","1","2024-03-02"
"GM","ONIX_PLUS","3986","10804","2024-03-02"
"VW","VIRTUS","3017","7926","2024-03-02"
"TOYOTA","YARIS_SEDAN","1444","4565","2024-03-02"
"NISSAN","VERSA","1161","2987","2024-03-02"
"HONDA","CITY","954","2795","2024-03-02"
"VW","POLO_SEDAN","0","1","2024-03-02"
"TOYOTA","COROLLA","3166","7809","2024-03-02"
"BYD","SEAL","350","1415","2024-03-02"
"NISSAN","SENTRA","500","1162","2024-03-02"
"VW","JETTA","268","769","2024-03-02"
"GM","CRUZE_SEDAN","181","478","2024-03-02"
"HONDA","CIVIC","104","333","2024-03-02"
"AUDI","A3_SEDAN","41","119","2024-03-02"
"AUDI","A5","39","76","2024-03-02"
"MBENZ","CLA200","42","64","2024-03-02"
"BMW","420I","19","40","2024-03-02"
"CAOA_CHERY","ARRIZO_6","2","19","2024-03-02"
"MBENZ","CLA45","8","17","2024-03-02"
"BMW","218I","5","9","2024-03-02"
"MBENZ","CLA35","1","8","2024-03-02"
"JAC","E-J7","4","7","2024-03-02"
"HYUNDAI","IONIQ","0","3","2024-03-02"
"HYUNDAI","ELANTRA","0","1","2024-03-02"
"KIA","CERATO","1","1","2024-03-02"
"ROLLS_ROYCE","ROLLS_ROYCE","0","1","2024-03-02"
"VW","BORA","1","1","2024-03-02"
"VW","SANTANA","0","1","2024-03-02"
"BMW","320I","290","779","2024-03-02"
"MBENZ","CLASSE_C","171","271","2024-03-02"
"BMW","330E","18","84","2024-03-02"
"MBENZ","CLA200","8","76","2024-03-02"
"HONDA","ACCORD","15","71","2024-03-02"
