marca,modelo,emplacados,acumulado_anual,data
HYUNDAI,HB20,8363,16194,2023-12-2
FIAT,ARGO,6171,14988,2023-12-2
VW,POLO,8197,14074,2023-12-2
TOYOTA,YARIS_HB,2016,5664,2023-12-2
CITROEN,C3,2035,4836,2023-12-2
PEUGEOT,208,2101,4464,2023-12-2
HONDA,CITY_HATCH,1340,4014,2023-12-2
RENAULT,SANDERO,658,1538,2023-12-2
MINI,COOPER,82,169,2023-12-2
JAC,E-JS1,39,91,2023-12-2
FIAT,500E,7,24,2023-12-2
NISSAN,LEAF,8,94,2023-12-2
GM,CRUZE_HB,40,85,2023-12-2
AUDI,A3,20,78,2023-12-2
MBENZ,CLASSE_A,9,15,2023-12-2
BMW,I3,0,10,2023-12-2
BMW,118i,0,5,2023-12-2
FIAT,CRONOS,3442,7576,2023-12-2
HYUNDAI,HB20S,2025,4807,2023-12-2
VW,VOYAGE,1,2062,2023-12-2
RENAULT,LOGAN,240,580,2023-12-2
FIAT,SIENA,3,12,2023-12-2
TOYOTA,ETIOS_SEDAN,2,2,2023-12-2
FORD,FIESTA_SEDAN,1,1,2023-12-2
FORD,KA_SEDAN,1,1,2023-12-2
GM,CLASSIC,0,1,2023-12-2
GM,CORSA_SEDAN,1,1,2023-12-2
GM,ONIX_PLUS,7104,18392,2023-12-2
HONDA,CITY,1249,3424,2023-12-2
TOYOTA,YARIS_SEDAN,932,2804,2023-12-2
VW,VIRTUS,1562,2666,2023-12-2
NISSAN,VERSA,741,1424,2023-12-2
FORD,CORCEL,4,4,2023-12-2
TOYOTA,COROLLA,3865,8950,2023-12-2
NISSAN,SENTRA,453,459,2023-12-2
HONDA,CIVIC,76,275,2023-12-2
GM,CRUZE_SEDAN,83,218,2023-12-2
VW,JETTA,145,213,2023-12-2
CAOA_CHERY,ARRIZO_6,61,169,2023-12-2
AUDI,A5,48,139,2023-12-2
AUDI,A3_SEDAN,41,117,2023-12-2
MBENZ,CLA45,15,44,2023-12-2
BMW,218I,7,29,2023-12-2
BMW,420I,3,29,2023-12-2
MBENZ,CLA35,9,22,2023-12-2
JAC,E-J7,0,14,2023-12-2
KIA,CERATO,2,9,2023-12-2
HYUNDAI,IONIQ,0,1,2023-12-2
MBENZ,CLASSE_A,1,1,2023-12-2
RENAULT,FLUENCE,1,1,2023-12-2
TOYOTA,PRIUS,0,1,2023-12-2
VW,SANTANA,0,1,2023-12-2
BMW,320I,551,1135,2023-12-2
BMW,330E,120,268,2023-12-2
MBENZ,CLASSE_C,36,225,2023-12-2
AUDI,A4,73,130,2023-12-2
